word_count,sentence_count,avg_word_length,noun_count,verb_count,adj_count
100,3,4.88,68,4,1
231,8,4.818181818181818,129,12,11
348,12,5.005747126436781,180,21,18
225,8,4.986666666666666,132,12,7
128,8,4.7265625,40,22,6
100,3,4.88,68,4,1
198,7,4.909090909090909,120,12,5
128,8,4.7265625,40,22,6
198,7,4.909090909090909,120,12,5
128,8,4.7265625,40,22,6
100,3,4.88,68,4,1
313,8,5.0,159,26,12
348,12,5.005747126436781,180,21,18
285,9,4.747368421052632,150,17,14
1081,22,4.975023126734505,501,102,75
2326,75,5.074806534823732,981,232,187
227,7,4.991189427312776,127,11,10
96,3,4.916666666666667,66,3,1
2326,75,5.074806534823732,981,232,187
349,9,4.994269340974212,198,22,6
96,3,4.916666666666667,66,3,1
348,12,5.005747126436781,180,21,18
231,8,4.818181818181818,129,12,11
2326,75,5.074806534823732,981,232,187
1010,32,4.774257425742574,432,107,65
128,8,4.7265625,40,22,6
271,9,4.85239852398524,151,14,13
128,8,4.7265625,40,22,6
256,10,4.78515625,137,19,6
256,10,4.83984375,144,16,6
231,8,4.818181818181818,129,12,11
285,9,4.747368421052632,150,17,14
285,9,4.747368421052632,150,17,14
348,12,5.005747126436781,180,21,18
403,14,4.759305210918114,158,47,22
322,11,5.316770186335404,165,31,14
231,8,4.818181818181818,129,12,11
285,9,4.747368421052632,150,17,14
2326,75,5.074806534823732,981,232,187
128,8,4.7265625,40,22,6
96,3,4.916666666666667,66,3,1
2326,75,5.074806534823732,981,232,187
207,8,5.028985507246377,115,14,5
128,8,4.7265625,40,22,6
285,9,4.747368421052632,150,17,14
348,12,5.005747126436781,180,21,18
285,9,4.747368421052632,150,17,14
96,3,4.916666666666667,66,3,1
225,8,4.986666666666666,132,12,7
198,7,4.909090909090909,120,12,5
100,3,4.88,68,4,1
348,12,5.005747126436781,180,21,18
231,8,4.818181818181818,129,12,11
294,11,4.744897959183674,154,20,10
100,3,4.88,68,4,1
128,8,4.7265625,40,22,6
100,3,4.88,68,4,1
2326,75,5.074806534823732,981,232,187
771,22,4.8469520103761345,305,115,37
96,3,4.916666666666667,66,3,1
198,7,4.909090909090909,120,12,5
231,8,4.818181818181818,129,12,11
198,7,4.909090909090909,120,12,5
268,7,5.220149253731344,153,18,10
128,8,4.7265625,40,22,6
96,3,4.916666666666667,66,3,1
128,8,4.7265625,40,22,6
100,3,4.88,68,4,1
231,8,4.818181818181818,129,12,11
100,3,4.88,68,4,1
198,7,4.909090909090909,120,12,5
96,3,4.916666666666667,66,3,1
198,7,4.909090909090909,120,12,5
96,3,4.916666666666667,66,3,1
128,8,4.7265625,40,22,6
285,9,4.747368421052632,150,17,14
348,12,5.005747126436781,180,21,18
270,11,4.9,145,20,7
348,12,5.005747126436781,180,21,18
285,9,4.747368421052632,150,17,14
198,7,4.909090909090909,120,12,5
100,3,4.88,68,4,1
96,3,4.916666666666667,66,3,1
128,8,4.7265625,40,22,6
225,8,4.986666666666666,132,12,7
256,9,4.93359375,136,17,6
303,10,5.082508250825082,166,20,8
1368,26,4.621345029239766,498,188,115
128,8,4.7265625,40,22,6
231,8,4.818181818181818,129,12,11
2326,75,5.074806534823732,981,232,187
285,9,4.747368421052632,150,17,14
225,8,4.986666666666666,132,12,7
824,15,4.723300970873787,339,99,56
2326,75,5.074806534823732,981,232,187
231,8,4.818181818181818,129,12,11
2326,75,5.074806534823732,981,232,187
198,7,4.909090909090909,120,12,5
2326,75,5.074806534823732,981,232,187
348,12,5.005747126436781,180,21,18
